id,title,publish_time,close_time,resolution,question_id,t,x
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-12 10:07:59.684106827,0.95
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-12 10:07:59.684106827,0.95
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-07 16:58:33.177523613,0.54
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-07 16:58:33.177523613,0.54
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-07 17:08:32.970491409,0.9
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-07 17:08:35.735679388,0.9
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-07 17:08:32.970491409,0.9
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-07 17:08:35.735679388,0.9
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-07 17:12:15.638348103,0.9
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-10 02:33:18.527450561,0.99
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-07 17:12:15.638348103,0.9
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-10 02:33:18.527450561,0.99
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-07 17:12:15.638348103,0.9
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-10 02:33:18.527450561,0.99
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-07 17:12:15.638348103,0.9
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-10 02:33:18.527450561,0.99
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-07 17:12:15.638348103,0.9
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-10 02:33:18.527450561,0.99
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-09 16:53:38.091683626,0.82
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-12 01:48:23.236777067,0.95
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-09 16:53:38.091683626,0.82
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-12 01:48:23.236777067,0.95
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-07 18:53:24.525950193,0.75
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-07 18:53:24.525950193,0.75
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-07 17:42:52.641427517,0.62
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-08 17:31:51.132750033,0.7
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-09 20:00:47.546231985,0.92
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-07 17:42:52.641427517,0.62
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-08 17:31:51.132750033,0.7
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-09 20:00:47.546231985,0.92
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-07 17:42:52.641427517,0.62
4040,Will Boris Johnson recover from COVID-19?,2020-04-07 06:00:00+02:00,2020-04-12 12:59:00+02:00,1.0,4040,2020-04-08 17:31:51.132750033,0.7
